Id,UpVotes,DownVotes
"86492","0","0"
"86493","0","0"
"86498","0","0"
"86500","6","2"
"86512","161","1"
"86515","366","43"
"86519","2","0"
"86524","123","7"
"86528","40","1"
"86531","0","0"
"86535","7","0"
"86536","83","0"
"86537","203","1"
"91632","665","19"
"91635","0","0"
"91642","37","3"
"91655","0","0"
"91658","288","2"
"91660","302","3"
"91668","0","0"
"91670","7","0"
"91671","2227","67"
"91674","138","12"
"91683","105","8"
"91687","208","8"
"91693","3","0"
"91695","0","0"
"91696","148","86"
"91697","21","3"
"91702","0","0"
"91710","10","0"
"91711","0","0"
"97630","75","0"
"97631","10","0"
"97632","5","0"
"97635","18","0"
"97637","2","0"
"97638","158","3"
"97641","127","0"
"97642","45","3"
"97643","165","0"
"97645","76","0"
"97647","65","9"
"97648","45","0"
"97649","0","0"
"97650","102","1"
"97651","543","5"
"97658","1151","2"
"97659","73","3"
"97660","0","0"
"97661","13","2"
"97667","108","0"
"97668","58","0"
"97672","28","1"
"97674","0","0"
"97682","30","0"
"97686","554","3"
"97687","65","6"
"97688","1715","35"
"97689","12","0"
"97697","81","3"
"128602","1","0"
"128609","1","0"
"128611","69","0"
"128618","503","10"
"128619","110","0"
"128623","0","0"
"128625","347","35"
"128629","2603","13"
"128632","11","0"
"128643","50","0"
"128645","1139","17"
"128647","64","0"
"128649","4","0"
"128650","14","0"
"128654","92","2"
"128655","0","0"
"128657","7","0"
"128660","138","5"
"128661","79","3"
"128662","2290","240"
"128674","48","11"
"128682","20","0"
"128695","1799","10"
"128696","2","0"
"128698","5","1"
"128703","51","0"
"128704","4","0"
"146622","946","72"
"146624","1","0"
"146625","162","0"
"146628","263","1"
"146629","5","0"
"146633","209","7"
"146634","0","0"
"146636","228","1"
"146637","26","7"
"146640","136","3"
"146642","462","32"
"146649","1","0"
"146651","2","0"
"146652","8","0"
"146656","712","13"
"146674","23","2"
"146682","0","0"
"149265","716","16"
"149268","18","0"
"149270","48","1"
"149271","3","0"
"149274","160","5"
"149277","14","1"
"149279","3","0"
"149282","21","0"
"149284","482","0"
"149287","49","0"
"149288","391","12"
"149289","90","0"
"149293","14","0"
"149297","111","15"
"149301","24","1"
"149303","114","9"
"149306","71","1"
"149311","1099","0"
"149316","148","16"
"149318","0","0"
"149323","0","0"
"149324","19","0"
"149325","91","5"
"149327","0","0"
"149330","386","24"
"149331","5","0"
"149332","3","0"
"149341","340","966"
"149342","53","0"
"149348","5","0"
"149349","5","0"
"153923","1091","35"
"153925","7","0"
"153934","9","0"
"153940","0","0"
"153942","77","9"
"153943","10","0"
"153944","5","0"
"153945","65","1"
"153948","0","0"
"153949","0","0"
"153957","66","2"
"153959","81","9"
"154688","140","22"
"154689","4","0"
"154692","2","0"
"154694","236","0"
"154697","22","0"
"154698","3","0"
"154703","63","1"
"154705","20","0"
"154707","0","0"
"154708","0","0"
"154709","0","0"
"154714","82","4"
"154715","4","0"
"154718","0","0"
"154719","0","0"
"154722","688","4"
"154724","5","1"
"154726","117","9"
"154727","0","0"
"154739","126","0"
"154742","18","0"
"154744","226","3"
"154745","1","0"
"154749","0","0"
"154750","3","0"
"154751","118","0"
"154752","0","0"
"154755","137","4"
"154756","6","0"
"154759","7","1"
"154762","115","3"
"154763","1","0"
"154764","107","4"
"154765","205","10"
"154766","278","18"
"154770","468","6"
"154771","33","0"
"154776","23","2"
"154777","1","0"
"154782","3","0"
"154783","0","0"
"154793","0","0"
"156789","299","5"
"156794","0","0"
"156796","63","4"
"156802","0","0"
"156803","0","0"
"156807","2","0"
"156809","0","0"
"156810","142","2"
"156811","656","107"
"156814","54","0"
"156826","101","0"
"156831","0","0"
"156834","17","0"
"156835","165","1"
"156836","11","0"
"156839","0","0"
"156842","67","3"
"156843","2","0"
"156845","9","0"
"156848","0","0"
"156856","0","0"
"156866","0","0"
"156869","1054","39"
"156871","21","1"
"156873","3","0"
"156875","45","2"
"156879","0","0"
"156882","41","0"
"156884","27","0"
"156886","134","2"
"156888","185","17"
"156890","6","0"
"156892","31","2"
"156896","209","11"
"156898","60","0"
"156906","12","0"
"156907","0","0"
"156909","71","0"
"156910","0","0"
"161705","51","0"
"161707","18","4"
"161711","39","1"
"161712","128","2"
"161714","0","0"
"161718","115","2"
"161720","0","0"
"161724","8","0"
"161727","102","1"
"161735","398","11"
"161737","283","10"
"161739","13","1"
"161741","0","0"
"161743","0","0"
"161745","0","0"
"161746","488","17"
"161752","102","3"
"161753","14","2"
"161754","0","0"
"161758","20","0"
"161759","38","2"
"161760","32","0"
"161762","0","0"
"161763","0","0"
"161773","0","0"
"161775","66","5"
"161781","4","0"
"161784","4","0"
"161787","4","0"
"161792","57","3"
"161801","1170","36"
"161804","0","0"
"161805","32","0"
"161806","0","0"
"161807","0","0"
"161808","11","0"
"161815","2103","39"
"161816","412","0"
"161817","0","0"
"161821","1","0"
"161822","24","0"
"161832","122","7"
"161833","12","0"
"161838","0","0"
"161842","0","0"
"161846","5","0"
"161849","5","0"
"176233","8","0"
"176235","125","0"
"176247","5","0"
"176248","312","0"
"176252","6","1"
"176258","40","0"
"176259","11","0"
"176261","11","0"
"176266","5","0"
"176269","270","1"
"176270","17","2"
"176273","14","0"
"176275","26","7"
"176283","0","0"
"176284","13","0"
"176290","0","0"
"176291","1240","106"
"176293","6","0"
"176296","23","1"
"176297","8","0"
"176298","8","0"
"176300","21","0"
"176304","202","0"
"176305","8","0"
"176306","0","0"
"176307","151","1"
"176311","15","0"
"176312","632","24"
"176315","48","1"
"176323","66","2"
"176331","5","0"
"176333","13","0"
"176336","291","9"
"176337","91","0"
"183603","0","0"
"183604","14","0"
"183605","317","3"
"183609","3","0"
"183610","2","0"
"183612","0","0"
"183622","29","3"
"183623","0","0"
"183624","1101","11"
"183627","0","0"
"183631","16","14"
"183632","4","0"
"183633","0","0"
"183635","0","0"
"183637","0","0"
"183638","0","0"
"183639","2","0"
"183640","0","0"
"183642","23","0"
"183643","0","0"
"183652","484","5"
"183655","0","0"
"183658","7","0"
"183659","0","0"
"183661","0","0"
"183662","172","2"
"183665","139","2"
"183667","24","2"
"183672","34","0"
"183674","0","0"
"183676","0","0"
"183677","17","0"
"183678","545","6"
"183680","11","1"
"183681","0","0"
"183683","6","0"
"183685","13","0"
"183689","4","0"
"183692","50","0"
"183695","44","6"
"183696","1","0"
"190446","264","3"
"190450","33","0"
"190451","74","1"
"190452","238","45"
"190453","0","0"
"190454","24","3"
"190455","0","0"
"190456","0","0"
"190457","0","0"
"190458","0","0"
"190460","58","2"
"190463","1","0"
"190466","254","4"
"190467","69","4"
"190468","0","0"
"190469","0","0"
"190470","0","0"
"190471","6","0"
"190472","0","0"
"190474","30","7"
"190475","16","0"
"190476","513","2"
"190477","5","0"
"190480","57","19"
"190481","7","0"
"190482","16","2"
"190488","0","0"
"190490","0","0"
"190492","13","0"
"190493","0","0"
"190494","0","0"
"190497","0","0"
"190498","2","0"
"190499","20","1"
"190500","0","0"
"190503","16","0"
"190504","0","0"
"190506","2","0"
"190507","0","0"
"190509","0","0"
"190511","0","0"
"190513","0","0"
"190514","0","0"
"190515","0","0"
"190519","0","0"
"190520","0","0"
"190521","53","0"
"215526","1","0"
"215527","4","0"
"215534","142","5"
"215535","96","1"
"215536","0","0"
"215537","5","0"
"215538","0","0"
"215539","0","0"
"215540","9","0"
"215541","10","1"
"215542","1355","192"
"215543","0","0"
"215546","251","7"
"215547","0","0"
"215548","0","0"
"215550","0","0"
"215551","0","0"
"215552","75","6"
"215553","481","5"
"215555","0","0"
"215557","41","0"
"215559","0","0"
"215560","0","0"
"215561","3","0"
"215562","0","0"
"215564","0","0"
"215565","0","0"
"215568","790","78"
"215570","1","0"
"215571","372","23"
"215573","0","0"
"215574","0","0"
"215576","293","3"
"215578","0","0"
"215579","33","6"
"215580","26","1"
"215583","6","0"
"215584","2","0"
"215588","0","0"
"215591","0","0"
"215593","34","2"
"215594","10","0"
"215595","0","0"
"215596","8","0"
"215597","0","0"
"215598","0","0"
"215599","0","0"
"215600","812","76"
"215601","0","0"
"216632","21","0"
"216633","0","0"
"216634","44","0"
"216635","0","0"
"216636","116","6"
"216637","0","0"
"216638","8","0"
"216640","0","0"
"216642","0","0"
"216643","0","0"
"216645","0","0"
"216646","7","0"
"216647","6","0"
"216649","0","0"
"216650","5","0"
"216651","0","0"
"216652","2","0"
"216658","4","0"
"216660","1","0"
"216661","136","0"
"216662","8","0"
"216663","46","5"
"216665","0","0"
"216667","0","0"
"216668","0","0"
"216669","0","0"
"216671","0","0"
"216672","58","13"
"216674","0","0"
"216675","18","0"
"216676","0","0"
"216677","0","0"
"216679","0","0"
"216680","0","0"
"216681","2","1"
"216682","0","0"
"216683","0","0"
"216685","492","33"
"216686","0","0"
"216687","10","0"
"216688","0","0"
"216693","0","0"
"216694","0","0"
"216695","53","0"
"216697","0","0"
"216700","0","0"
"216702","26","0"
"216703","0","0"
"216707","0","0"
"216708","72","0"
"216709","0","0"
"216710","0","0"
"229461","29","22"
"229462","0","0"
"229463","0","0"
"229465","0","0"
"229466","0","0"
"229467","0","0"
"229468","39","2"
"229473","0","0"
"229476","0","0"
"229477","0","0"
"229478","0","0"
"229480","0","0"
"229481","12","2"
"229482","0","0"
"229484","6","0"
"229486","12","0"
"229487","45","0"
"229488","0","0"
"229490","0","0"
"229492","0","0"
"229493","19","1"
"229495","0","0"
"229496","0","0"
"229497","0","0"
"229498","3","0"
"229499","31","6"
"229500","0","0"
"229501","0","0"
"229502","0","0"
"229503","0","0"
"229507","162","0"
"229574","0","0"
"229575","0","0"
"229576","0","0"
"229577","0","0"
"229578","12","0"
"229580","0","0"
"229581","66","4"
"229584","7","0"
"229586","0","0"
"229587","178","58"
"229592","0","0"
"229593","9","0"
"229595","0","0"
"229597","0","0"
"229598","0","0"
"229599","16","0"
"229602","962","42"
"229605","4","0"
"229606","0","0"
"229607","0","0"
"229608","58","1"
"229609","26","3"
"229610","0","0"
"229611","0","0"
"229612","0","0"
"229615","21","0"
"229616","34","3"
"229618","0","0"
"229619","48","6"
"229621","0","0"
"229623","0","0"
"229626","0","0"
"229627","0","0"
"229630","0","0"
"229631","233","3"
"229634","14","0"
"229635","0","0"
"229636","8","0"
"229638","0","0"
"229640","0","0"
"229642","15","1"
"229643","0","0"
"229645","0","0"
"229648","0","0"
"229651","0","0"
"229652","114","6"
"229653","3","0"
"234748","0","0"
"234749","84","1"
"234750","2","0"
"234751","0","0"
"234754","85","6"
"234755","0","0"
"234756","39","0"
"234757","0","0"
"234758","0","0"
"234760","0","0"
"234762","0","0"
"234763","0","0"
"234764","9","0"
"234766","0","0"
"234769","0","0"
"234772","0","0"
"234774","0","0"
"234775","80","4"
"234776","0","0"
"234777","2","0"
"234779","0","0"
"234780","853","24"
"234782","0","0"
"234784","674","17"
"234788","0","0"
"234789","17","0"
"234790","56","2"
"234791","0","0"
"234795","0","0"
"234796","0","0"
"234797","46","3"
"234799","0","0"
"234800","0","0"
"234801","1","0"
"234804","0","0"
"234806","0","0"
"234808","0","0"
"234809","6","0"
"234810","62","0"
"234812","0","0"
"234813","0","0"
"234815","1357","14"
"234816","8","0"
"234817","0","0"
"234818","5","0"
"234821","0","0"
"234822","0","0"
"234823","272","0"
"234824","0","0"
"234825","0","0"
"234826","2","0"
"234828","0","0"
"234829","0","0"
"234830","62","0"
"234833","0","0"
"234834","5","0"
"234836","32","3"
"234837","0","0"
"234838","13","0"
"239721","0","0"
"239724","0","0"
"239727","0","0"
"239729","144","2"
"239733","0","0"
"239734","0","0"
"239736","0","0"
"239737","0","0"
"239738","0","0"
"239739","0","0"
"239740","36","0"
"239744","0","0"
"239745","8","0"
"239746","75","0"
"239749","0","0"
"239751","0","0"
"239754","1","0"
"239755","8","0"
"239756","0","0"
"239757","0","0"
"239758","0","0"
"239761","0","0"
"239762","33","0"
"239763","12","0"
"239766","0","0"
"239767","0","0"
"239768","73","5"
"239769","10","0"
"239770","764","8"
"239771","3","1"
"239772","0","0"
"239773","0","0"
"239774","44","3"
"239775","79","1"
"239777","0","0"
"239778","235","8"
"239779","0","0"
"239780","0","0"
"239781","0","0"
"239783","2","0"
"239786","48","2"
"239787","0","0"
"239788","0","0"
"239789","0","0"
"239790","83","0"
"239791","35","0"
"239793","511","0"
"239794","0","0"
"239797","1","0"
"239799","0","0"
"239800","0","0"
"239801","1056","35"
"239802","2","0"
"239803","0","0"
"239805","10","0"
"239806","26","0"
"239810","125","1"
"239811","0","0"
"239812","0","0"
"239813","3","0"
"239816","69","1"
"239817","0","0"
"257873","0","0"
"257875","0","0"
"257877","0","0"
"257878","275","13"
"257881","11","0"
"257882","0","0"
"257888","3","0"
"257891","0","0"
"257892","0","0"
"257894","0","0"
"257895","0","0"
"257896","0","0"
"257897","5","0"
"257898","0","0"
"257899","1","0"
"257901","3","0"
"257902","0","0"
"257903","50","2"
"257906","23","1"
"257907","0","0"
"257908","0","0"
"257910","3","0"
"257911","9","0"
"257912","0","0"
"257915","0","0"
"257916","61","2"
"257917","0","0"
"257918","0","0"
"257919","0","0"
"257920","0","0"
"257923","0","0"
"257924","83","1"
"257925","49","6"
"257926","1","0"
"257929","0","0"
"257932","0","0"
"257933","15","0"
"257935","0","0"
"257936","0","0"
"257938","0","0"
"257939","555","22"
"257940","19","0"
"257942","215","11"
"257943","0","0"
"257944","204","29"
"257945","0","0"
"257946","0","0"
"257947","0","0"
"257948","627","5"
"257949","69","13"
"257950","0","0"
"257953","7","0"
"268110","0","0"
"268111","8","0"
"268113","3","0"
"268114","19","1"
"268115","0","0"
"268116","0","0"
"268117","0","0"
"268121","0","0"
"268123","0","0"
"268124","0","0"
"268125","1173","9"
